book_id,publisher_id
14058995,20154
533327,20155
18474117,20156
1166599,20157
593109,19688
203409,20158
7203997,20159
6781184,20160
10182392,20161
20518655,20162
20773953,19847
984021,20163
10552338,19687
21915986,19959
10385505,20164
17335881,20165
24767508,20166
23209822,19960
11156963,19829
13606970,20167
12634575,19988
23280000,20168
16065550,20169
17913288,20170
21955078,20171
401454,20172
25668685,19999
23517137,20173
257669,19669
5505135,20153
17350491,20163
17556418,20174
119729,20175
16001443,19789
23209927,20176
40874032,20177
6839020,19864
35783057,20178
6354310,20179
30841984,20092
6732019,20180
41176626,19959
43616139,20181
13452923,20182
34763906,20026
25434361,20183
31823677,20184
55792,19864
44107480,20185
39297840,20186
48855342,20187
128529,19829
181972,20188
96505,19904
6006822,20189
21456940,19886
471174,20190
108051,19726
298537,19780
593105,19656
9263,20191
815234,19770
170529,19871
533779,19762
605663,19910
3105537,20175
1380834,20025
254660,20192
615359,19805
331695,20193
6658659,20157
5290503,20194
9069150,20195
10711,19762
5184603,20196
406422,19656
62558,20197
11106249,20198
1739150,20199
80738,19866
13414323,20200
13564820,20127
131304,19670
13643831,20201
838130,20083
9412215,20202
13741511,20203
10710392,19705
15772095,20204
186445,20205
7779571,20206
16093278,20207
2642142,20208
16003058,20209
15743703,19792
53948,20210
3173125,19774
13618136,20211
54995,19700
43885,19658
130730,20212
13554131,20213
544354,20214
2877205,20001
18088594,19959
25581147,20215
536622,20216
66677,20217
12384984,19805
9219901,19967
19307225,20218
15766776,19760
20460436,19959
20903622,19959
17669067,20092
18667307,20219
297898,19765
22524731,20220
21894650,20221
18811324,19917
42988,19820
23742469,20222
12864154,20223
2411470,20224
18244599,20225
119832,19922
25027140,20085
6684540,19754
112518,20092
783291,19808
25365530,20097
13623874,19780
25481803,20226
25053346,20134
25668970,20227
17801134,20228
22841551,20229
28800321,20230
28091259,20231
23266378,20232
32284715,20233
13115538,19806
18586621,19959
15790894,20092
33644223,20234
29952526,20178
24611819,19679
26597596,20235
34213608,19794
29923707,19677
31144992,20070
29202269,20236
18077875,20180
35003240,20237
33893388,20238
23688121,20238
38339351,20239
35297469,19922
32956365,19826
43191510,20240
18941670,20103
43181675,20241
29093292,20046
26255907,20186
5956935,20242
3359010,20243
44583515,20244
43848929,19808
37769577,20245
130346,20246
45294613,19834
446279,20247
807044,19724
80268,20248
21412215,19736
22469,20249
214888,20250
5409442,20111
6262518,20251
683927,20252
138558,19736
5988458,20253
347339,19816
80492,19922
7932,19713
15100,19736
588723,20254
64948,19750
459901,19878
5269911,20137
317293,19669
271487,20255
276967,19700
6377319,20256
3107,19721
6566722,19870
7776678,19870
205821,19713
10639954,19959
942959,20257
10869001,20258
2416991,20041
867356,19810
3191898,20259
11717230,20260
