book_id,listegenre,award
1567,"Classics, Drama, Fiction, Plays",0
1591,"Classics, Drama, Fiction, Plays, Plays-Theatre",0
1617,"Autobiography-Memoir, Biography, Classics, History, Nonfiction, World War II-Holocaust",0
1618,"Contemporary, Fiction, Mystery, Young Adult",1
1622,"Classics, Drama, Fantasy, Fiction, Plays",0
1624,"Autobiography-Memoir, Biography, Cultural-Africa, Nonfiction, Travel",0
1625,"Classics, Drama, Fiction, Plays",0
1627,"Fiction, GLBT-Queer, LGBT, Romance, Romance-M M Romance, Short Stories",1
1633,"Audiobook, Business, Business-Management, Leadership, Nonfiction, Productivity, Psychology, Reference, Self Help, Self Help-Personal Development",0
1663,"Cultural-Israel, Historical, History, Religion-Judaism, War",1
1677,"Classics, Cultural-Latin American, Fiction",0
1715,"Classics, Fantasy-Mythology, Fiction, Poetry",1
1814,"Cultural, History, Nonfiction, Occult, Philosophy, Philosophy-Metaphysics, Reference, Religion, Spirituality, Spirituality-New Age",0
1815,"Nonfiction, Philosophy, Science, Spirituality",0
1842,"Anthropology, Economics, Historical, History, History-World History, Nonfiction, Politics, Science, Science-Geography, Sociology",1
1845,"Academic-School, Adventure, Adventure-Survival, Autobiography-Memoir, Biography, Biography Memoir, Classics, Environment-Nature, Nonfiction, Travel",1
1846,"Christian, Christian-Christian Living, Christian-Christian Non Fiction, Nonfiction, Religion, Religion-Christianity, Religion-Faith, Religion-Theology, Self Help, Spirituality",1
1848,"Autobiography-Memoir, Biography, Cultural-Asia, Cultural-China, History, Nonfiction",1
1849,"Fiction, Mystery, Suspense, Thriller",0
1852,"Academic-School, Adventure, Animals, Childrens, Classics, Fiction, Historical-Historical Fiction, Literature, Novels, Young Adult",0
1869,"Autobiography-Memoir, Economics, Nonfiction, Politics, Sociology",1
1875,"Academic, Cultural-France, GLBT-Queer, History, Nonfiction, Philosophy, Philosophy-Theory, Psychology, Sexuality, Sociology",0
1876,"History, Nonfiction, Philosophy, Philosophy-Theory, Sexuality, Sociology",0
1878,"History, Nonfiction, Philosophy, Philosophy-Theory, Sexuality, Sociology",0
1885,"Classics, Fiction, Romance",0
1898,"Adventure, Adventure-Survival, Autobiography-Memoir, Biography, Biography Memoir, History, Nonfiction, Sports-Mountaineering, Sports-Sports, Travel",1
1911,"Business, Economics, Education, History, Nonfiction, Politics, Science, Science-Technology, Sociology, Unfinished",1
1934,"Classics, Fiction, Historical-Historical Fiction, Young Adult",0
1946,"Classics, Fiction",0
1953,"Classics, Fiction, Historical-Historical Fiction, Literature",0
1976,"Adventure, Historical, Historical-Historical Fiction, Mystery, Young Adult",0
1978,"Nonfiction, Philosophy, Politics, Writing-Essays",0
1981,"Language-Writing, Nonfiction, Philosophy",0
1990,"Classics, Fiction",0
2002,"Childrens, Childrens-Middle Grade, Fantasy, Fantasy-Magic, Fiction, Novels, Paranormal-Wizards, Reference, Science Fiction Fantasy, Young Adult",0
2011,"Fantasy, Fiction, Literature-American, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Aliens, Space, Space-Space Opera, Speculative Fiction",0
2013,"Anthologies-Collections, Classics, Fantasy, Fiction, Novels, Religion, Science Fiction, Science Fiction Fantasy, Space-Space Opera, Speculative Fiction",0
