book_id,author_id,author
11664,37324,John Updike
11666,37324,John Updike
11690,40337,Orhan Pamuk
11711,41314,D.B.C. Pierre
11713,37373,Michael Ondaatje
11734,39751,Philip Roth
11741,37722,Marilynne Robinson
11761,42191,Don DeLillo
11765,42191,Don DeLillo
11768,37352,John Irving
11773,45547,Alice McDermott
11782,39747,Joyce Carol Oates
11785,39747,Joyce Carol Oates
11831,39027,Cynthia Voigt
11841,37081,Madeleine L'Engle
11899,37898,Michael Cunningham
11901,36859,Anne Rice
11903,41081,Graeme Base
11915,36724,Kelley Armstrong
11918,36724,Kelley Armstrong
11919,36724,Kelley Armstrong
11922,36724,Kelley Armstrong
11933,37039,Peter S. Beagle
11980,40242,Jean-Paul Sartre
12007,37729,Iain M. Banks
12009,37729,Iain M. Banks
12013,37729,Iain M. Banks
12014,38230,Iain Banks
12015,37729,Iain M. Banks
12016,37729,Iain M. Banks
12021,38230,Iain Banks
12054,45841,Paul Bowles
12098,47710,Eugène Ionesco
12125,39027,Cynthia Voigt
12194,37229,Joseph Conrad
12220,39807,Tennessee Williams
12279,37856,Samuel Beckett
12286,37856,Samuel Beckett
12287,37856,Samuel Beckett
12334,41870,Nancy Milford
12335,41870,Nancy Milford
12349,44021,Ruth Ozeki
12442,37241,Richard  Adams
12444,37241,Richard  Adams
12447,40853,Thomas Wolfe
12448,40853,Thomas Wolfe
12467,37409,Norman Mailer
12468,37409,Norman Mailer
12469,37409,Norman Mailer
12474,37409,Norman Mailer
12495,38186,Erin McCarthy
12497,36615,Cormac McCarthy
12527,46219,Annie Dillard
12528,46219,Annie Dillard
12530,46219,Annie Dillard
12532,46219,Annie Dillard
12534,46219,Annie Dillard
12535,38478,Anne Lamott
12540,38478,Anne Lamott
12543,38478,Anne Lamott
12550,38302,P.G. Wodehouse
12555,36611,Amy Tan
12557,36611,Amy Tan
12577,40842,Eudora Welty
12590,40842,Eudora Welty
12593,40842,Eudora Welty
12595,40842,Eudora Welty
12609,38489,Anne Fadiman
12612,43046,Noam Chomsky
12657,37347,James A. Michener
12658,37347,James A. Michener
12659,37347,James A. Michener
12661,37347,James A. Michener
12662,37347,James A. Michener
12663,37347,James A. Michener
12691,37710,John Grogan
12722,37227,John Steinbeck
12725,37633,Scott O'Dell
12781,37124,Salman Rushdie
12819,37432,Iris Murdoch
12881,39751,Philip Roth
12898,37232,Arthur  Miller
12923,40356,Horace Walpole
12930,37245,Lois Lowry
12931,37245,Lois Lowry
12935,37245,Lois Lowry
12936,37245,Lois Lowry
12938,37256,William Shakespeare
12948,38542,Henry James
12967,37162,Mark Helprin
12995,37857,William Faulkner
12996,37256,William Shakespeare
13033,37485,Lawrence Durrell
13036,37485,Lawrence Durrell
13037,37485,Lawrence Durrell
13039,37485,Lawrence Durrell
13041,37141,Hermann Hesse
13061,38301,Carl Hiaasen
13064,38301,Carl Hiaasen
13065,38301,Carl Hiaasen
13066,38301,Carl Hiaasen
13067,38301,Carl Hiaasen
13079,38301,Carl Hiaasen
13083,38301,Carl Hiaasen
13103,39746,James Redfield
13105,39746,James Redfield
13128,36600,James Patterson
13137,36600,James Patterson
13139,36600,James Patterson
13140,36600,James Patterson
13143,36600,James Patterson
13145,36600,James Patterson
13148,36600,James Patterson
13151,36600,James Patterson
13152,36600,James Patterson
13162,36600,James Patterson
13199,37415,Jeffrey Archer
13206,38975,Maya Angelou
13208,38975,Maya Angelou
13210,38975,Maya Angelou
13214,38975,Maya Angelou
13258,41623,Zoë Heller
13350,36614,Christopher Paolini
13366,42077,Joyce Meyer
13374,43449,Miriam Toews
13376,36578,Nancy Farmer
13440,36556,Stephen King
13451,36556,Stephen King
13496,36861,George R.R. Martin
13497,36861,George R.R. Martin
13498,36861,George R.R. Martin
