book_id,listegenre
2723,"Fantasy, Fiction, Historical-Historical Fiction, Science Fiction, Science Fiction-Alternate History"
2725,"Art, Criticism-Literary Criticism, Nonfiction, Philosophy, Philosophy-Theory, Writing-Essays"
2743,"Autobiography-Memoir, Biography, Biography-Autobiography, Nonfiction"
2744,"Fantasy, Fantasy-Mythology, Fantasy-Urban Fantasy, Fiction"
2748,"Contemporary, Cultural-Canada, Fiction, Humor, Novels"
2761,"Death, Nonfiction, Philosophy, Psychology, Science, Sociology"
2767,"History, Nonfiction"
2784,"Art, Art-Art History, Art-Photography, Criticism, Design, History, Nonfiction, Philosophy, Philosophy-Theory, Writing-Essays"
2794,"Classics, Contemporary, Fiction, Literary Fiction, Literature, Literature-20th Century, Literature-American, Mystery, Novels, The United States Of America"
2804,"Biography, Cultural-France, History, Nonfiction, Philosophy, Science"
2811,"Childrens, Fantasy, Fiction, Young Adult"
2823,"Classics, European Literature-German Literature, Nonfiction, Philosophy"
2855,"Cultural-France, Cultural-Romania, European Literature-Romanian Literature, History, Literature, Nonfiction, Philosophy, Philosophy-Theory, Unfinished, Writing-Essays"
2865,"Art, Classics, Fiction, Historical, Historical-Historical Fiction"
2872,"European Literature-British Literature, Fiction, Historical, Historical-Historical Fiction"
2873,"Cultural-France, Fiction, Historical, Historical-Historical Fiction"
2879,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
2880,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
2882,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
2899,"Classics, European Literature-German Literature, Fiction, Novels"
2900,"Cultural-Germany, European Literature-German Literature, Fiction, Literature"
2913,"Adventure, Adventure-Survival, Fiction, Realistic Fiction, Young Adult"
2915,"Adventure, Adventure-Survival, Childrens, Fiction, Realistic Fiction, Young Adult"
2923,"Adventure, Animals, Autobiography-Memoir, Nonfiction"
2932,"Adventure, Classics, Fiction, Literature"
2953,Classics
2956,"Classics, Fiction, Historical-Historical Fiction, Literature, Young Adult"
2971,"Autobiography-Memoir, Biography, Biography-Autobiography, Classics, History, Nonfiction"
2998,"Childrens, Classics, Fiction, Young Adult"
3008,"Childrens, Classics, Fiction, Young Adult"
3023,"Business, Economics, Economics-Finance, Nonfiction, Politics"
3028,"Business, Classics, Currency-Money, Economics, Economics-Finance, Education, History, Nonfiction, Philosophy, Politics"
3040,"History, Nonfiction, Politics"
3049,"Classics, Fantasy, Fiction, Historical-Medieval, Mythology-Arthurian, Poetry"
3059,"Nonfiction, Psychology, Self Help, Spirituality"
3061,"Art, Art-Art Design, Art-Crafts, Art-Drawing, Art-Visual Art, Design, How To, Nonfiction, Reference, Science"
3066,"Classics, Fiction, Historical-Historical Fiction, Literature-Jewish"
3067,"Fiction, Literature, Literature-American, Short Stories"
3068,"Classics, Fiction, Literature, Literature-Jewish, Novels"
3077,"Classics, Cultural-Italy, Fiction, Historical-Historical Fiction, Romance"
3087,"Classics, Fiction, Romance"
