book_id,publisher_id,published_date,published_title,name_publisher
3978,19721,,,HarperTorch
3979,19902,,,Gollancz
3980,20530,,,Walker Books Ltd
3985,19875,,,Picador USA
4004,21345,,,Thorsons
4006,26091,,,HarperTorch (an imprint of HarperCollins Publishers)
4008,19898,,,HarperOne
4009,19803,,,"Little, Brown and Company"
4031,19695,,,Vintage
4035,19719,,,Grand Central Publishing
4042,21620,,,Crown Forum
4069,20828,,,Beacon Press
4099,22171,,,Addison-Wesley Professional
4117,21528,,,Simon & Schuster Childrens Books
4136,21486,,,Little Brown & Co (P)
4137,19803,,,"Little, Brown and Company"
4138,19815,,,Back Bay Books
4143,19815,,,Back Bay Books
4171,20906,,,Broadway
4191,19695,,,Vintage
4214,27759,,,Seal Books
4264,19749,,,Riverhead Books
4268,30240,,,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
4271,19712,,,Penguin Books
4318,20635,,,Bloomsbury Methuen Drama
4325,19876,,,Speak
4330,21538,,,Meisha Merlin Publishing
4338,29261,,,Harper/HarperCollins Publishers L.L.C.
4339,19695,,,Vintage
4341,19742,,,Signet
4360,24812,,,Penguin Books (NY)
4364,19695,,,Vintage
4373,19665,,,Harper Perennial
4390,24713,,,Plaza y Janes
4395,19712,,,Penguin Books
4406,19712,,,Penguin Books
4424,19815,,,Back Bay Books
4451,19824,,,Touchstone
4473,20644,,,Black Swan
4477,19875,,,Picador USA
4485,23613,,,Goldmann
4488,19712,,,Penguin Books
4507,19722,,,Bantam
4515,26651,,,Edebé
4516,29826,,,Edebe
4519,27950,,,AHA! Process
4530,21581,,,Penguin (Non-Classics)
4538,20729,,,Aladdin Paperbacks
4580,21072,,,Firebird
4588,19881,,,Mariner Books
4591,19665,,,Harper Perennial
4599,19865,,,Hyperion
4605,22136,,,Rivages
4608,24106,,,Cliffs Notes
4625,19817,,,Scribner
4630,19817,,,Scribner
4631,19695,,,Vintage
4633,19817,,,Scribner
4645,19817,,,Scribner
4648,19695,,,Vintage
4652,19817,,,Scribner
4656,21020,,,Fawcett Books
4659,19664,,,Ballantine Books
4660,19664,,,Ballantine Books
4662,19817,,,Scribner
4671,19817,,,Scribner
4685,19884,,,Warner Books (NY)
4687,21774,,,Thorndike Press
4692,20524,,,"Little, Brown Book Group"
4696,19709,,,St. Martin's Griffin
4701,19675,,,Doubleday
4708,19930,,,Simon & Schuster
4723,20320,,,Cambridge University Press
4796,19683,,,Penguin Classics
4798,19712,,,Penguin Books
4799,19712,,,Penguin Books
4806,19798,,,Walker Books
4813,29010,,,Harper Perennial (NYC)
4820,19860,,,Viking
4830,19893,,,Random House Trade
4831,19695,,,Vintage
4835,21110,,,Viking Children's Books
4845,20661,,,Microsoft Press
4855,19750,,,Hard Press
4865,19654,,,Gallery Books
4866,19654,,,Gallery Books
4868,19780,,,Pocket Books
4870,19780,,,Pocket Books
4887,20327,,,Basic Books
4894,27825,,,Vermilion
4900,21308,,,Green Integer
4909,19817,,,Scribner
4912,21782,,,Flamingo
4921,19712,,,Penguin Books
4926,19683,,,Penguin Classics
4929,19895,,,Vintage International
4934,19793,,,"Farrar, Straus and Giroux"
4948,19872,,,Puffin Books
4950,19881,,,Mariner Books
4952,22761,,,McSweeney's
4953,19695,,,Vintage
4954,19695,,,Vintage
4965,19712,,,Penguin Books
4978,19780,,,Pocket Books
4979,19739,,,Random House Trade Paperbacks
4980,24813,,,Dell Publishing
4981,19829,,,Dial Press
4982,19902,,,Gollancz
4983,20474,,,Chelsea House Publications
4984,19695,,,Vintage
4985,29031,,,Dial Press Trade Paperbacks
4986,19734,,,Washington Square Press
4989,20120,,,St. Martin's Press
4998,19712,,,Penguin Books
5015,20540,,,Anchor
5036,19857,,,Tor Fantasy
5038,19653,,,Tor Books
5043,21054,,,NAL Trade
5053,19776,,,NAL
5055,19776,,,NAL
5058,19776,,,NAL
5062,19776,,,NAL
5064,20538,,,Dutton
5068,20267,,,Picador
5084,21033,,,Knopf Publishing Group
5091,19780,,,Pocket Books
5092,19742,,,Signet
5093,19780,,,Pocket Books
5094,19742,,,Signet
5096,21582,,,New English Library
5107,19815,,,Back Bay Books
5113,19815,,,Back Bay Books
5114,19815,,,Back Bay Books
5128,20322,,,Harper Perennial Modern Classics
5129,29661,,,HarperPerennial / Perennial Classics
5130,29776,,,Harper Perennial Classics
5131,20322,,,Harper Perennial Modern Classics
5135,20139,,,Dalkey Archive Press
5136,20939,,,Ivan R. Dee Publisher
5137,19683,,,Penguin Classics
5139,20259,,,Anchor Books
5148,19817,,,Scribner
5157,30184,,,Delta Publishing
5158,19695,,,Vintage
5159,19674,,,Berkley
5161,19712,,,Penguin Books
5162,19788,,,HarperCollins Publishers
5166,19695,,,Vintage
5167,19719,,,Grand Central Publishing
5168,19719,,,Grand Central Publishing
5171,19664,,,Ballantine Books
5174,19780,,,Pocket Books
5179,19734,,,Washington Square Press
5180,19677,,,Berkley Books
