book_id,author_id
187117,8864
1271104,10089
18893988,8005
6931246,9743
17643,19006
23637440,8734
18298890,10569
25067570,19114
984859,18024
17262366,9254
20702025,14341
7123181,12071
20787232,14344
25526965,8086
33643994,9799
28374062,10449
17287021,11414
25756328,16552
32601841,11077
315511,13239
3760,9431
50843,8079
227481,9986
96334,12833
407234,8362
3094593,8362
15803037,14197
6048335,10266
2164457,15878
16176,11427
9919,9391
1488157,17731
40271,8761
4328472,8405
691014,12659
1241534,13402
523795,19569
11657,8854
7686654,9557
389525,13077
5979401,13751
4002159,13456
9550620,10398
13278242,9331
3929671,18122
51299,16363
562795,10323
793298,10520
133547,15916
6681523,13985
11290708,17534
19577,8933
6796044,13179
156784,16572
17832472,9394
30362,9173
5465901,8848
14015,9352
476733,13803
858719,10050
17987085,9716
17670941,10133
7955881,14963
4929272,11935
11256293,13381
2138584,9492
12260585,9492
6763730,16164
1408083,9403
11288619,10809
12392681,9743
18808407,18675
18798578,8705
13563068,18833
1228439,16058
7933814,9490
157551,18682
15843286,9083
22716194,9667
2310780,10091
28493748,12577
25564665,8738
26154406,10279
26799006,9100
741480,11141
135060,8912
30969741,9276
36595101,14006
43610362,11332
29233804,8073
7670390,10241
3930100,10241
202206,18273
17726,9387
349681,9753
175319,8079
30333,9329
154423,9505
294817,9496
41502,8763
568093,9444
6788533,17735
301820,9196
846613,15639
1542405,8181
1542403,8181
8752457,9378
28815371,19174
5075964,9557
53927,12265
353342,10799
7544649,8038
11283775,17669
347698,19857
10669,14524
7353219,16761
288962,9502
9757229,8160
3157876,8437
11010251,10869
10778,8767
258569,19793
29923,13237
12924188,13643
47572,8610
698,11823
34605,10164
12830117,11043
13540215,11215
6450060,11892
18683518,9062
18171248,10748
12924379,9026
13436384,14963
7238737,11675
7743117,8392
16405,9832
116925,19515
22097790,10689
17902141,9006
16240541,15767
16074748,14971
19081402,8228
1212868,13691
31602,12647
6729300,19553
17920175,8357
25785357,8160
31283058,9110
20613624,18153
25816163,8115
41818,9024
32324555,8612
1961314,10571
34037113,8656
30025336,8339
22429350,8283
35297394,10467
35820633,8262
26842622,11572
1039182,9329
18743370,8257
2011,9420
348632,12288
833060,10772
68097,13932
199688,9533
6311614,9028
6402991,8474
462658,8095
268437,18329
5711749,8619
2726569,12354
315519,13239
5178537,19596
906015,10519
657371,17178
7389741,16632
313631,11507
880271,14188
841973,10282
522782,8624
25843420,17686
7717938,14222
6556855,8463
12759057,11306
8526694,19838
4881647,16786
613866,8126
6334523,16026
15985583,11696
7940589,13398
6957498,12711
13271555,8978
6066819,8435
240162,10884
13449677,8213
17915542,15183
17560038,15996
78970,8945
10479750,9941
22472,10303
857213,16067
91487,9503
6343963,13879
149049,8938
11196694,11540
10819228,15283
9962040,9167
15740944,13037
5055737,19442
3401640,12097
929901,10163
186201,9366
203899,11607
13589866,16026
25175898,11707
247982,11609
297929,9491
22718736,16843
29467232,9020
87224,8146
770614,13481
14495,17818
53168,9026
601390,9496
6661489,9226
697251,8087
5598819,9907
10327294,13657
179166,9373
768950,15060
17646,8122
6609571,9818
10757817,13486
6013686,16920
164238,15182
14504,8936
15773951,8120
12852262,10199
178493,19510
327257,8956
10950666,8988
10356760,8309
11968600,11043
41487,9505
3609537,9505
17820485,11436
10618,8086
7148256,8154
6760780,9335
1238684,14963
10537195,14963
256003,19005
305438,12359
184591,11516
9568185,11543
15789443,8289
1007172,10999
25059548,16288
195144,18941
11433,11582
18505836,12853
36279704,8005
323172,17750
826852,10767
149418,18009
12121575,18833
20492184,11543
158417,8896
81078,8003
1561628,8848
16001623,12170
8520609,8601
13542990,14312
23534,13419
3246224,8356
9925397,20129
10778761,8124
30367410,18419
454,14257
17210598,9496
23512999,8086
13083008,9529
35181374,9895
5985374,10219
400812,17022
17852667,12597
452235,9523
36047860,12827
34521785,11362
17402288,18500
24612118,8445
1525997,8095
22195,9630
199686,9533
359581,9036
2399928,18308
363499,9195
39346,10429
505352,9444
271262,11207
2939264,10251
36162,8349
492069,13827
15734163,14543
9893331,9654
430968,9210
750609,15889
3430165,8354
37304,9513
4703427,9413
11474158,10426
7824768,14085
539904,12317
112525,15253
484670,15749
10172939,9590
796267,9758
772716,13749
15015218,9666
10637834,16017
7876746,9226
884288,8386
13056868,9281
5982447,8285
19165476,8028
766917,9203
18350798,8235
16376,9832
10535458,9003
22692740,9449
21947191,9598
13642704,9293
