book_id,publisher_id
32956365,9329
43191510,9743
18941670,9606
43181675,9744
29093292,9549
26255907,9689
5956935,9745
3359010,9746
44583515,9747
43848929,9311
37769577,9748
130346,9749
45294613,9337
446279,9750
807044,9227
80268,9751
21412215,9239
22469,9752
214888,9753
5409442,9614
6262518,9754
683927,9755
138558,9239
5988458,9756
347339,9319
80492,9425
7932,9216
15100,9239
588723,9757
16743,9253
459901,9381
5269911,9640
317293,9172
271487,9758
276967,9203
6377319,9759
3107,9224
6566722,9373
7776678,9373
205821,9216
10639954,9462
942959,9760
10869001,9761
2416991,9544
867356,9313
3191898,9762
11717230,9763
1569097,9764
2942523,9295
865516,9765
6309229,9766
12885,9767
320200,9227
781653,9242
7543231,9768
8550813,9769
12162274,9770
36310387,9771
8485458,9171
10552088,9772
555500,9772
975885,9773
6851,9185
403101,9774
7351574,9277
7606431,9775
11753084,9776
16114675,9777
96908,9778
5444895,9300
21278,9172
12591698,9779
3664164,9780
158479,9781
33016249,9782
3629971,9438
16075834,9783
24723239,9567
12444166,9253
8339286,9771
6465063,9784
38463,9203
17283481,9785
186668,9786
7233473,9787
17458478,9716
3675828,9192
17472970,9788
353761,9172
71111,9173
744224,9583
7519179,9789
399212,9790
1433867,9546
1017302,9436
7074259,9305
20321703,9791
18714697,9791
37638234,9792
6722482,9793
16058721,9794
21856225,9795
22712380,9796
22751611,9797
207918,9798
1118616,9799
384221,9309
16110552,9794
18374102,9491
30658,9800
7171561,9801
776175,9802
18295852,9211
20483084,9171
84463,9803
24238873,9804
7139340,9805
22892122,9162
17700404,9502
13410943,9806
25909126,9807
23019022,9808
115673,9809
782519,9191
29776603,9810
29004052,9462
29003857,9462
13505635,9811
23398748,9696
6699443,9190
27272505,9208
1048897,9812
440638,9813
548370,9814
7881207,9417
130119,9815
27223433,9816
6912491,9656
18589573,9817
1161134,9818
11547633,9819
775198,9820
182136,9821
36411879,9681
3170458,9709
37569318,9273
34091026,9822
724666,9295
432020,9664
36469581,9529
6455256,9311
40864841,9823
945882,9824
43521352,9301
254501,9398
5996786,9504
18528548,9462
36647568,9506
11284,9825
109326,9826
872789,9296
28660,9171
77789,9383
882053,9230
15682,9191
137446,9220
224424,9257
357173,9827
11436,9340
3250465,9384
541920,9201
763489,9532
112080,9203
160,9828
89716,9380
105999,9193
34303,9163
2350129,9584
66692,9829
328064,9830
338131,9331
381364,9353
6397351,9161
36193,9595
33484,9295
362888,9365
6941324,9252
7871086,9185
7696504,9325
765811,9220
3212912,9831
2972472,9225
11529182,9462
692871,9832
6273,9694
169875,9273
7789265,9833
781132,9358
12864154,9701
46180,9834
11402993,9419
9874196,9469
5659537,9227
11792612,9171
129909,9835
895886,9416
457841,9224
6371720,9836
14288454,9440
16283548,9406
18485794,9339
384579,9204
6419,9628
16049402,9837
3993839,9217
8951449,9838
6318413,9199
89884,9250
1056079,9839
953773,9418
13524900,9840
18935386,9841
12509045,9842
311196,9163
527495,9203
13153400,9843
12384681,9844
27550,9389
10718998,9845
73906,9327
5557442,9504
25193,9685
2961481,9846
5045718,9847
18308787,9848
15724908,9849
5082616,9190
18487180,9844
3173438,9305
18104749,9850
18129599,9851
21468450,9852
12578294,9358
18310201,9309
7646410,9853
16122643,9470
30843,9854
18858489,9505
22847427,9855
293602,9856
18105451,9217
11871983,9168
23209862,9463
18188319,9857
13608133,9858
101191,9300
22088616,9804
43691,9325
3084415,9225
6520376,9859
17453516,9188
6276276,9860
44323,9861
15843041,9549
22915011,9862
13432143,9863
747558,9162
21853636,9217
546255,9864
10187223,9609
129877,9191
26153423,9865
20649195,9866
18774919,9664
22046891,9628
29060994,9462
6344832,9182
23299513,9867
2161966,9311
1364772,9868
30558257,9869
26085520,9614
19161872,9305
2624112,9870
23533039,9595
7114176,9871
24382227,9305
18674889,9872
27223433,9873
31349426,9873
10589240,9874
29496453,9696
26245853,9227
77040,9323
22595737,9875
13630171,9295
40039708,9876
26312997,9877
46038451,9878
40548354,9879
36389267,9212
25334576,9382
34684622,9438
43191440,9743
19523454,9183
52759512,9880
32618967,9881
857333,9882
50196744,9368
41081373,9609
43521657,9883
28165571,9884
12465812,9885
40116691,9162
22774,9886
25810500,9257
21250772,9887
16103997,9888
31952703,9263
381072,9171
262545,9889
153418,9890
303073,9425
26482,9186
57901,9220
634407,9628
6771684,9891
102142,9369
281152,9265
762504,9416
74462,9892
1720099,9425
84079,9595
76758,9225
6313326,9893
394228,9230
6289558,9552
35341537,9688
348537,9299
